"","state","year","total_population"
"976","Vermont",2006,622892
"977","Vermont",2007,623481
"978","Vermont",2008,624151
"979","Vermont",2009,624817
"980","Vermont",2010,625741
"981","Vermont",2011,626431
"982","Vermont",2012,626011
"983","Vermont",2013,626630
"984","Vermont",2014,626562
"985","Vermont",2015,626042
"986","Vermont",2016,624594
"987","Vermont",2017,623657
"988","Vermont",2018,626299
"989","Vermont",2019,623989
"990","Vermont",NA,13051465
"991","Virginia",1999,7000174
"992","Virginia",2000,7078515
"993","Virginia",2001,7198362
"994","Virginia",2002,7286873
"995","Virginia",2003,7366977
"996","Virginia",2004,7475575
"997","Virginia",2005,7577105
"998","Virginia",2006,7673725
"999","Virginia",2007,7751000
"1000","Virginia",2008,7833496
"1001","Virginia",2009,7925937
"1002","Virginia",2010,8001024
"1003","Virginia",2011,8096604
"1004","Virginia",2012,8185867
"1005","Virginia",2013,8260405
"1006","Virginia",2014,8326289
"1007","Virginia",2015,8382993
"1008","Virginia",2016,8411808
"1009","Virginia",2017,8470020
"1010","Virginia",2018,8517685
"1011","Virginia",2019,8535519
"1012","Virginia",NA,165355953
"1013","Washington",1999,5842564
"1014","Washington",2000,5894121
"1015","Washington",2001,5985722
"1016","Washington",2002,6052349
"1017","Washington",2003,6104115
"1018","Washington",2004,6178645
"1019","Washington",2005,6257305
"1020","Washington",2006,6370753
"1021","Washington",2007,6461587
"1022","Washington",2008,6562231
"1023","Washington",2009,6667426
"1024","Washington",2010,6724540
"1025","Washington",2011,6830038
"1026","Washington",2012,6897012
"1027","Washington",2013,6971406
"1028","Washington",2014,7061530
"1029","Washington",2015,7170351
"1030","Washington",2016,7288000
"1031","Washington",2017,7405743
"1032","Washington",2018,7535591
"1033","Washington",2019,7614893
"1034","Washington",NA,139875922
"1035","West Virginia",1999,1811799
"1036","West Virginia",2000,1808344
"1037","West Virginia",2001,1801481
"1038","West Virginia",2002,1805414
"1039","West Virginia",2003,1812295
"1040","West Virginia",2004,1816438
"1041","West Virginia",2005,1820492
"1042","West Virginia",2006,1827912
"1043","West Virginia",2007,1834052
"1044","West Virginia",2008,1840310
"1045","West Virginia",2009,1847775
"1046","West Virginia",2010,1852994
"1047","West Virginia",2011,1855364
"1048","West Virginia",2012,1855413
"1049","West Virginia",2013,1854304
"1050","West Virginia",2014,1850326
"1051","West Virginia",2015,1844128
"1052","West Virginia",2016,1831102
"1053","West Virginia",2017,1815857
"1054","West Virginia",2018,1805832
"1055","West Virginia",2019,1792147
"1056","West Virginia",NA,38383779
"1057","Wisconsin",1999,5332666
"1058","Wisconsin",2000,5363675
"1059","Wisconsin",2001,5406835
"1060","Wisconsin",2002,5445162
"1061","Wisconsin",2003,5479203
"1062","Wisconsin",2004,5514026
"1063","Wisconsin",2005,5546166
"1064","Wisconsin",2006,5577655
"1065","Wisconsin",2007,5610775
"1066","Wisconsin",2008,5640996
"1067","Wisconsin",2009,5669264
"1068","Wisconsin",2010,5686986
"1069","Wisconsin",2011,5711767
"1070","Wisconsin",2012,5726398
"1071","Wisconsin",2013,5742713
"1072","Wisconsin",2014,5757564
"1073","Wisconsin",2015,5771337
"1074","Wisconsin",2016,5778708
"1075","Wisconsin",2017,5795483
"1076","Wisconsin",2018,5813568
"1077","Wisconsin",2019,5822434
"1078","Wisconsin",NA,118193381
"1079","Wyoming",1999,491780
"1080","Wyoming",2000,493782
"1081","Wyoming",2001,494657
"1082","Wyoming",2002,500017
"1083","Wyoming",2003,503453
"1084","Wyoming",2004,509106
"1085","Wyoming",2005,514157
"1086","Wyoming",2006,522667
"1087","Wyoming",2007,534876
"1088","Wyoming",2008,546043
"1089","Wyoming",2009,559851
"1090","Wyoming",2010,563626
"1091","Wyoming",2011,568158
"1092","Wyoming",2012,576412
"1093","Wyoming",2013,582658
"1094","Wyoming",2014,584153
"1095","Wyoming",2015,586107
"1096","Wyoming",2016,585501
"1097","Wyoming",2017,579315
"1098","Wyoming",2018,577737
"1099","Wyoming",2019,578759
"1100","Wyoming",NA,11452815
"1101","",NA,6403948691
"1102","",NA,NA
"1103","",NA,NA
"1104","",NA,NA
"1105","",NA,NA
"1106","",NA,NA
"1107","",NA,NA
"1108","",NA,NA
"1109","",NA,NA
"1110","",NA,NA
"1111","",NA,NA
"1112","",NA,NA
"1113","",NA,NA
"1114","",NA,NA
"1115","",NA,NA
"1116","",NA,NA
"1117","",NA,NA
"1118","",NA,NA
"1119","",NA,NA
"1120","",NA,NA
"1121","",NA,NA
"1122","",NA,NA
"1123","",NA,NA
"1124","",NA,NA
"1125","",NA,NA
"1126","",NA,NA
"1127","",NA,NA
"1128","",NA,NA
"1129","",NA,NA
"1130","",NA,NA
"1131","",NA,NA
"1132","",NA,NA
"1133","",NA,NA
"1134","",NA,NA
"1135","",NA,NA
"1136","",NA,NA
"1137","",NA,NA
"1138","",NA,NA
"1139","",NA,NA
"1140","",NA,NA
"1141","",NA,NA
"1142","",NA,NA
"1143","",NA,NA
"1144","",NA,NA
"1145","",NA,NA
"1146","",NA,NA
"1147","",NA,NA
"1148","",NA,NA
"1149","",NA,NA
"1150","",NA,NA
"1151","",NA,NA
"1152","",NA,NA
"1153","",NA,NA
"1154","",NA,NA
"1155","",NA,NA
"1156","",NA,NA
"1157","",NA,NA
"1158","",NA,NA
"1159","",NA,NA
"1160","",NA,NA
"1161","",NA,NA
"1162","",NA,NA
"1163","",NA,NA
"1164","",NA,NA
"1165","",NA,NA
"1166","",NA,NA
"1167","",NA,NA
"1168","",NA,NA
