"Year-Quarter (time)","Geographic Area Name (NAME)","Amount ($1,000,000) (CELL_VALUE)"
"2008-Q3","Massachusetts","5,065"
"2008-Q4","Massachusetts","4,619"
"2009-Q1","Massachusetts","4,618"
"2009-Q2","Massachusetts","5,184"
"2009-Q3","Massachusetts","4,603"
"2009-Q4","Massachusetts","4,767"
"2010-Q1","Massachusetts","4,776"
"2010-Q2","Massachusetts","5,729"
"2010-Q3","Massachusetts","5,063"
"2010-Q4","Massachusetts","5,231"
"2011-Q1","Massachusetts","5,105"
"2011-Q2","Massachusetts","6,527"
"2011-Q3","Massachusetts","5,367"
"2011-Q4","Massachusetts","5,144"
"2012-Q1","Massachusetts","5,196"
"2012-Q2","Massachusetts","6,863"
"2012-Q3","Massachusetts","5,397"
"2012-Q4","Massachusetts","5,400"
"2013-Q1","Massachusetts","5,594"
"2013-Q2","Massachusetts","7,296"
"2013-Q3","Massachusetts","5,864"
"2013-Q4","Massachusetts","5,650"
"2014-Q1","Massachusetts","6,049"
"2014-Q2","Massachusetts","7,340"
"2014-Q3","Massachusetts","6,033"
"2014-Q4","Massachusetts","6,111"
"2015-Q1","Massachusetts","6,506"
"2015-Q2","Massachusetts","8,024"
"2015-Q3","Massachusetts","6,372"
"2015-Q4","Massachusetts","6,182"
"2016-Q1","Massachusetts","6,542"
"2016-Q2","Massachusetts","8,012"
"2016-Q3","Massachusetts","6,521"
"2016-Q4","Massachusetts","6,180"
"2017-Q1","Massachusetts","6,505"
"2017-Q2","Massachusetts","7,981"
"2017-Q3","Massachusetts","6,692"
"2017-Q4","Massachusetts","6,981"
"2018-Q1","Massachusetts","6,830"
"2018-Q2","Massachusetts","8,838"
"2018-Q3","Massachusetts","7,382"
"2018-Q4","Massachusetts","6,817"
"2019-Q1","Massachusetts","7,249"
"2019-Q2","Massachusetts","10,008"
"2019-Q3","Massachusetts","7,616"
"2019-Q4","Massachusetts","7,164"
"1999-Q1","Michigan","4,710"
"1999-Q2","Michigan","5,799"
"1999-Q3","Michigan","5,127"
"1999-Q4","Michigan","5,050"
"2000-Q1","Michigan","6,828"
"2000-Q2","Michigan","5,740"
"2000-Q3","Michigan","5,619"
"2000-Q4","Michigan","4,929"
"2001-Q1","Michigan","5,581"
"2001-Q2","Michigan","5,398"
"2001-Q3","Michigan","6,274"
"2001-Q4","Michigan","5,429"
"2002-Q1","Michigan","5,134"
"2002-Q2","Michigan","5,093"
"2002-Q3","Michigan","6,208"
"2002-Q4","Michigan","6,109"
"2003-Q1","Michigan","4,935"
"2003-Q2","Michigan","4,952"
"2003-Q3","Michigan","6,063"
"2003-Q4","Michigan","7,443"
"2004-Q1","Michigan","3,420"
"2004-Q2","Michigan","5,271"
"2004-Q3","Michigan","6,128"
"2004-Q4","Michigan","6,748"
"2005-Q1","Michigan","4,308"
"2005-Q2","Michigan","4,385"
"2005-Q3","Michigan","8,813"
"2005-Q4","Michigan","6,883"
"2006-Q1","Michigan","2,969"
"2006-Q2","Michigan","5,780"
"2006-Q3","Michigan","8,082"
"2006-Q4","Michigan","6,442"
"2007-Q1","Michigan","3,381"
"2007-Q2","Michigan","5,985"
"2007-Q3","Michigan","8,041"
"2007-Q4","Michigan","6,749"
"2008-Q1","Michigan","3,875"
"2008-Q2","Michigan","6,204"
"2008-Q3","Michigan","8,664"
"2008-Q4","Michigan","6,549"
"2009-Q1","Michigan","3,234"
"2009-Q2","Michigan","5,769"
"2009-Q3","Michigan","7,206"
"2009-Q4","Michigan","6,247"
"2010-Q1","Michigan","3,286"
"2010-Q2","Michigan","5,500"
"2010-Q3","Michigan","7,172"
"2010-Q4","Michigan","6,177"
"2011-Q1","Michigan","3,974"
"2011-Q2","Michigan","5,985"
"2011-Q3","Michigan","7,686"
"2011-Q4","Michigan","6,570"
"2012-Q1","Michigan","4,847"
"2012-Q2","Michigan","4,942"
"2012-Q3","Michigan","7,561"
"2012-Q4","Michigan","6,440"
"2013-Q1","Michigan","5,190"
"2013-Q2","Michigan","5,518"
"2013-Q3","Michigan","7,788"
"2013-Q4","Michigan","6,315"
"2014-Q1","Michigan","4,454"
"2014-Q2","Michigan","6,036"
"2014-Q3","Michigan","8,294"
"2014-Q4","Michigan","6,721"
"2015-Q1","Michigan","5,449"
"2015-Q2","Michigan","5,533"
"2015-Q3","Michigan","9,254"
"2015-Q4","Michigan","6,945"
"2016-Q1","Michigan","4,699"
"2016-Q2","Michigan","6,370"
"2016-Q3","Michigan","9,595"
"2016-Q4","Michigan","7,274"
"2017-Q1","Michigan","4,833"
"2017-Q2","Michigan","7,194"
"2017-Q3","Michigan","9,142"
"2017-Q4","Michigan","7,313"
"2018-Q1","Michigan","6,256"
"2018-Q2","Michigan","7,489"
"2018-Q3","Michigan","8,747"
"2018-Q4","Michigan","7,988"
"2019-Q1","Michigan","6,413"
"2019-Q2","Michigan","6,615"
"2019-Q3","Michigan","9,185"
"2019-Q4","Michigan","8,501"
"1999-Q1","Minnesota","2,989"
"1999-Q2","Minnesota","4,054"
"1999-Q3","Minnesota","2,197"
"1999-Q4","Minnesota","3,005"
"2000-Q1","Minnesota","3,719"
"2000-Q2","Minnesota","4,410"
"2000-Q3","Minnesota","2,284"
"2000-Q4","Minnesota","3,481"
"2001-Q1","Minnesota","3,329"
"2001-Q2","Minnesota","4,441"
"2001-Q3","Minnesota","3,111"
"2001-Q4","Minnesota","3,162"
"2002-Q1","Minnesota","3,203"
"2002-Q2","Minnesota","3,847"
"2002-Q3","Minnesota","3,322"
"2002-Q4","Minnesota","3,474"
"2003-Q1","Minnesota","3,169"
"2003-Q2","Minnesota","4,018"
"2003-Q3","Minnesota","3,381"
"2003-Q4","Minnesota","3,672"
"2004-Q1","Minnesota","3,253"
"2004-Q2","Minnesota","4,430"
"2004-Q3","Minnesota","3,491"
"2004-Q4","Minnesota","3,864"
"2005-Q1","Minnesota","3,674"
"2005-Q2","Minnesota","4,856"
"2005-Q3","Minnesota","3,965"
"2005-Q4","Minnesota","4,108"
"2006-Q1","Minnesota","3,916"
"2006-Q2","Minnesota","5,341"
"2006-Q3","Minnesota","3,951"
"2006-Q4","Minnesota","4,342"
"2007-Q1","Minnesota","4,021"
"2007-Q2","Minnesota","5,454"
"2007-Q3","Minnesota","4,096"
"2007-Q4","Minnesota","4,392"
"2008-Q1","Minnesota","4,085"
"2008-Q2","Minnesota","5,748"
"2008-Q3","Minnesota","4,173"
"2008-Q4","Minnesota","4,291"
"2009-Q1","Minnesota","3,688"
"2009-Q2","Minnesota","5,009"
"2009-Q3","Minnesota","3,882"
"2009-Q4","Minnesota","4,223"
"2010-Q1","Minnesota","3,871"
"2010-Q2","Minnesota","5,234"
"2010-Q3","Minnesota","4,396"
"2010-Q4","Minnesota","4,594"
"2011-Q1","Minnesota","4,273"
"2011-Q2","Minnesota","5,703"
"2011-Q3","Minnesota","4,747"
"2011-Q4","Minnesota","5,048"
"2012-Q1","Minnesota","4,493"
"2012-Q2","Minnesota","6,273"
"2012-Q3","Minnesota","4,951"
"2012-Q4","Minnesota","4,955"
"2013-Q1","Minnesota","6,244"
"2013-Q2","Minnesota","6,746"
"2013-Q3","Minnesota","5,232"
"2013-Q4","Minnesota","5,664"
"2014-Q1","Minnesota","5,226"
"2014-Q2","Minnesota","7,123"
"2014-Q3","Minnesota","5,421"
"2014-Q4","Minnesota","5,969"
"2015-Q1","Minnesota","5,450"
"2015-Q2","Minnesota","7,639"
"2015-Q3","Minnesota","5,631"
"2015-Q4","Minnesota","6,194"
"2016-Q1","Minnesota","5,600"
"2016-Q2","Minnesota","7,765"
"2016-Q3","Minnesota","5,716"
"2016-Q4","Minnesota","6,203"
"2017-Q1","Minnesota","5,943"
"2017-Q2","Minnesota","7,733"
"2017-Q3","Minnesota","5,804"
"2017-Q4","Minnesota","6,743"
"2018-Q1","Minnesota","6,356"
"2018-Q2","Minnesota","7,976"
"2018-Q3","Minnesota","6,313"
"2018-Q4","Minnesota","6,482"
"2019-Q1","Minnesota","6,214"
"2019-Q2","Minnesota","9,167"
"2019-Q3","Minnesota","6,671"
"2019-Q4","Minnesota","6,820"
"1999-Q1","Mississippi","947"
"1999-Q2","Mississippi","1,070"
"1999-Q3","Mississippi","1,061"
"1999-Q4","Mississippi","1,024"
"2000-Q1","Mississippi","930"
"2000-Q2","Mississippi","1,078"
"2000-Q3","Mississippi","1,239"
"2000-Q4","Mississippi","1,206"
"2001-Q1","Mississippi","1,020"
"2001-Q2","Mississippi","1,296"
"2001-Q3","Mississippi","1,340"
"2001-Q4","Mississippi","1,209"
"2002-Q1","Mississippi","1,250"
"2002-Q2","Mississippi","1,330"
"2002-Q3","Mississippi","1,175"
"2002-Q4","Mississippi","1,176"
"2003-Q1","Mississippi","1,177"
"2003-Q2","Mississippi","1,424"
"2003-Q3","Mississippi","1,158"
"2003-Q4","Mississippi","1,279"
"2004-Q1","Mississippi","1,188"
"2004-Q2","Mississippi","1,486"
"2004-Q3","Mississippi","1,226"
"2004-Q4","Mississippi","1,310"
"2005-Q1","Mississippi","1,265"
"2005-Q2","Mississippi","1,643"
"2005-Q3","Mississippi","1,226"
"2005-Q4","Mississippi","1,447"
"2006-Q1","Mississippi","1,508"
"2006-Q2","Mississippi","1,821"
"2006-Q3","Mississippi","1,447"
"2006-Q4","Mississippi","1,515"
"2007-Q1","Mississippi","1,550"
"2007-Q2","Mississippi","1,974"
"2007-Q3","Mississippi","1,511"
"2007-Q4","Mississippi","1,593"
"2008-Q1","Mississippi","1,617"
"2008-Q2","Mississippi","2,054"
"2008-Q3","Mississippi","1,536"
"2008-Q4","Mississippi","1,588"
"2009-Q1","Mississippi","1,508"
"2009-Q2","Mississippi","1,887"
"2009-Q3","Mississippi","1,349"
"2009-Q4","Mississippi","1,490"
"2010-Q1","Mississippi","1,420"
"2010-Q2","Mississippi","2,033"
"2010-Q3","Mississippi","1,397"
"2010-Q4","Mississippi","1,590"
"2011-Q1","Mississippi","1,524"
"2011-Q2","Mississippi","1,978"
"2011-Q3","Mississippi","1,442"
"2011-Q4","Mississippi","1,667"
"2012-Q1","Mississippi","1,687"
"2012-Q2","Mississippi","2,077"
"2012-Q3","Mississippi","1,456"
"2012-Q4","Mississippi","1,845"
"2013-Q1","Mississippi","1,787"
"2013-Q2","Mississippi","2,246"
"2013-Q3","Mississippi","1,572"
"2013-Q4","Mississippi","1,924"
"2014-Q1","Mississippi","1,806"
"2014-Q2","Mississippi","2,190"
"2014-Q3","Mississippi","1,690"
"2014-Q4","Mississippi","1,933"
"2015-Q1","Mississippi","1,937"
"2015-Q2","Mississippi","2,230"
"2015-Q3","Mississippi","1,671"
"2015-Q4","Mississippi","1,927"
"2016-Q1","Mississippi","1,959"
"2016-Q2","Mississippi","2,275"
"2016-Q3","Mississippi","1,702"
"2016-Q4","Mississippi","1,865"
"2017-Q1","Mississippi","1,724"
"2017-Q2","Mississippi","2,382"
"2017-Q3","Mississippi","1,731"
"2017-Q4","Mississippi","1,877"
"2018-Q1","Mississippi","1,759"
"2018-Q2","Mississippi","2,433"
"2018-Q3","Mississippi","1,790"
"2018-Q4","Mississippi","1,948"
"2019-Q1","Mississippi","1,830"
"2019-Q2","Mississippi","2,638"
"2019-Q3","Mississippi","1,830"
"2019-Q4","Mississippi","2,038"
"1999-Q1","Missouri","1,907"
"1999-Q2","Missouri","2,623"
"1999-Q3","Missouri","2,004"
"1999-Q4","Missouri","2,065"
"2000-Q1","Missouri","1,880"
"2000-Q2","Missouri","2,632"
"2000-Q3","Missouri","2,092"
"2000-Q4","Missouri","2,049"
"2001-Q1","Missouri","2,005"
"2001-Q2","Missouri","2,705"
"2001-Q3","Missouri","2,138"
"2001-Q4","Missouri","2,191"
"2002-Q1","Missouri","1,903"
"2002-Q2","Missouri","2,440"
"2002-Q3","Missouri","2,166"
"2002-Q4","Missouri","2,231"
"2003-Q1","Missouri","1,906"
"2003-Q2","Missouri","2,324"
"2003-Q3","Missouri","2,279"
"2003-Q4","Missouri","2,225"
"2004-Q1","Missouri","2,034"
"2004-Q2","Missouri","2,581"
"2004-Q3","Missouri","2,358"
"2004-Q4","Missouri","2,299"
"2005-Q1","Missouri","2,112"
"2005-Q2","Missouri","2,775"
"2005-Q3","Missouri","2,447"
"2005-Q4","Missouri","2,359"
"2006-Q1","Missouri","2,252"
"2006-Q2","Missouri","3,122"
"2006-Q3","Missouri","2,564"
"2006-Q4","Missouri","2,460"
"2007-Q1","Missouri","2,387"
"2007-Q2","Missouri","3,292"
"2007-Q3","Missouri","2,669"
"2007-Q4","Missouri","2,547"
"2008-Q1","Missouri","2,430"
"2008-Q2","Missouri","3,318"
"2008-Q3","Missouri","2,639"
"2008-Q4","Missouri","2,554"
"2009-Q1","Missouri","2,399"
"2009-Q2","Missouri","2,752"
"2009-Q3","Missouri","2,450"
"2009-Q4","Missouri","2,323"
"2010-Q1","Missouri","2,091"
"2010-Q2","Missouri","2,872"
"2010-Q3","Missouri","2,507"
"2010-Q4","Missouri","2,452"
"2011-Q1","Missouri","2,242"
"2011-Q2","Missouri","2,941"
"2011-Q3","Missouri","2,537"
"2011-Q4","Missouri","2,486"
"2012-Q1","Missouri","2,380"
"2012-Q2","Missouri","3,434"
"2012-Q3","Missouri","2,629"
"2012-Q4","Missouri","2,633"
"2013-Q1","Missouri","2,512"
"2013-Q2","Missouri","3,409"
"2013-Q3","Missouri","2,762"
"2013-Q4","Missouri","2,708"
"2014-Q1","Missouri","2,536"
"2014-Q2","Missouri","3,280"
"2014-Q3","Missouri","2,840"
"2014-Q4","Missouri","2,862"
"2015-Q1","Missouri","2,677"
"2015-Q2","Missouri","3,624"
"2015-Q3","Missouri","2,975"
"2015-Q4","Missouri","2,956"
"2016-Q1","Missouri","2,897"
"2016-Q2","Missouri","3,466"
"2016-Q3","Missouri","3,046"
"2016-Q4","Missouri","2,937"
"2017-Q1","Missouri","3,083"
"2017-Q2","Missouri","3,526"
"2017-Q3","Missouri","3,101"
"2017-Q4","Missouri","3,054"
"2018-Q1","Missouri","3,209"
"2018-Q2","Missouri","3,661"
"2018-Q3","Missouri","3,067"
"2018-Q4","Missouri","3,037"
"2019-Q1","Missouri","3,024"
"2019-Q2","Missouri","4,054"
"2019-Q3","Missouri","3,213"
"2019-Q4","Missouri","3,142"
"1999-Q1","Montana","318"
"1999-Q2","Montana","501"
"1999-Q3","Montana","247"
"1999-Q4","Montana","267"
"2000-Q1","Montana","318"
"2000-Q2","Montana","601"
"2000-Q3","Montana","249"
"2000-Q4","Montana","297"
"2001-Q1","Montana","331"
"2001-Q2","Montana","619"
"2001-Q3","Montana","259"
"2001-Q4","Montana","298"
"2002-Q1","Montana","334"
"2002-Q2","Montana","551"
"2002-Q3","Montana","268"
"2002-Q4","Montana","299"
"2003-Q1","Montana","334"
"2003-Q2","Montana","587"
"2003-Q3","Montana","290"
"2003-Q4","Montana","339"
"2004-Q1","Montana","334"
"2004-Q2","Montana","707"
"2004-Q3","Montana","323"
"2004-Q4","Montana","348"
"2005-Q1","Montana","405"
"2005-Q2","Montana","799"
"2005-Q3","Montana","348"
"2005-Q4","Montana","414"
"2006-Q1","Montana","437"
"2006-Q2","Montana","927"
"2006-Q3","Montana","388"
"2006-Q4","Montana","373"
"2007-Q1","Montana","522"
"2007-Q2","Montana","854"
"2007-Q3","Montana","497"
"2007-Q4","Montana","567"
"2008-Q1","Montana","507"
"2008-Q2","Montana","887"
"2008-Q3","Montana","558"
"2008-Q4","Montana","596"
"2009-Q1","Montana","523"
"2009-Q2","Montana","730"
"2009-Q3","Montana","431"
"2009-Q4","Montana","503"
"2010-Q1","Montana","454"
"2010-Q2","Montana","755"
"2010-Q3","Montana","473"
"2010-Q4","Montana","540"
"2011-Q1","Montana","479"
"2011-Q2","Montana","812"
"2011-Q3","Montana","532"
"2011-Q4","Montana","610"
"2012-Q1","Montana","481"
"2012-Q2","Montana","836"
"2012-Q3","Montana","533"
"2012-Q4","Montana","643"
"2013-Q1","Montana","537"
"2013-Q2","Montana","932"
"2013-Q3","Montana","558"
"2013-Q4","Montana","647"
"2014-Q1","Montana","545"
"2014-Q2","Montana","891"
"2014-Q3","Montana","601"
"2014-Q4","Montana","670"
"2015-Q1","Montana","610"
"2015-Q2","Montana","962"
"2015-Q3","Montana","568"
"2015-Q4","Montana","690"
"2016-Q1","Montana","547"
"2016-Q2","Montana","809"
"2016-Q3","Montana","639"
"2016-Q4","Montana","656"
"2017-Q1","Montana","615"
"2017-Q2","Montana","824"
"2017-Q3","Montana","592"
"2017-Q4","Montana","785"
"2018-Q1","Montana","658"
"2018-Q2","Montana","971"
"2018-Q3","Montana","649"
"2018-Q4","Montana","815"
"2019-Q1","Montana","646"
"2019-Q2","Montana","1,058"
"2019-Q3","Montana","689"
"2019-Q4","Montana","859"
"1999-Q1","Nebraska","634"
"1999-Q2","Nebraska","783"
"1999-Q3","Nebraska","701"
"1999-Q4","Nebraska","651"
"2000-Q1","Nebraska","722"
"2000-Q2","Nebraska","905"
"2000-Q3","Nebraska","745"
"2000-Q4","Nebraska","672"
"2001-Q1","Nebraska","732"
"2001-Q2","Nebraska","887"
"2001-Q3","Nebraska","762"
"2001-Q4","Nebraska","691"
"2002-Q1","Nebraska","704"
"2002-Q2","Nebraska","835"
"2002-Q3","Nebraska","786"
"2002-Q4","Nebraska","721"
"2003-Q1","Nebraska","938"
"2003-Q2","Nebraska","906"
"2003-Q3","Nebraska","858"
"2003-Q4","Nebraska","769"
"2004-Q1","Nebraska","795"
"2004-Q2","Nebraska","1,219"
"2004-Q3","Nebraska","890"
"2004-Q4","Nebraska","865"
"2005-Q1","Nebraska","855"
"2005-Q2","Nebraska","1,067"
"2005-Q3","Nebraska","996"
"2005-Q4","Nebraska","911"
"2006-Q1","Nebraska","892"
"2006-Q2","Nebraska","1,162"
"2006-Q3","Nebraska","991"
"2006-Q4","Nebraska","921"
"2007-Q1","Nebraska","951"
"2007-Q2","Nebraska","1,207"
"2007-Q3","Nebraska","1,083"
"2007-Q4","Nebraska","949"
"2008-Q1","Nebraska","922"
"2008-Q2","Nebraska","1,225"
"2008-Q3","Nebraska","1,036"
"2008-Q4","Nebraska","962"
"2009-Q1","Nebraska","870"
"2009-Q2","Nebraska","1,086"
"2009-Q3","Nebraska","923"
"2009-Q4","Nebraska","895"
"2010-Q1","Nebraska","827"
"2010-Q2","Nebraska","1,060"
"2010-Q3","Nebraska","968"
"2010-Q4","Nebraska","905"
"2011-Q1","Nebraska","915"
"2011-Q2","Nebraska","1,247"
"2011-Q3","Nebraska","1,063"
"2011-Q4","Nebraska","1,014"
"2012-Q1","Nebraska","998"
"2012-Q2","Nebraska","1,288"
"2012-Q3","Nebraska","1,122"
"2012-Q4","Nebraska","1,050"
"2013-Q1","Nebraska","991"
"2013-Q2","Nebraska","1,528"
"2013-Q3","Nebraska","1,165"
"2013-Q4","Nebraska","1,092"
"2014-Q1","Nebraska","1,213"
"2014-Q2","Nebraska","1,413"
"2014-Q3","Nebraska","1,274"
"2014-Q4","Nebraska","1,133"
"2015-Q1","Nebraska","1,183"
"2015-Q2","Nebraska","1,495"
"2015-Q3","Nebraska","1,272"
"2015-Q4","Nebraska","1,187"
"2016-Q1","Nebraska","1,201"
"2016-Q2","Nebraska","1,444"
"2016-Q3","Nebraska","1,281"
"2016-Q4","Nebraska","1,150"
"2017-Q1","Nebraska","1,206"
"2017-Q2","Nebraska","1,468"
"2017-Q3","Nebraska","1,327"
"2017-Q4","Nebraska","1,249"
"2018-Q1","Nebraska","1,291"
"2018-Q2","Nebraska","1,526"
"2018-Q3","Nebraska","1,430"
"2018-Q4","Nebraska","1,251"
"2019-Q1","Nebraska","1,294"
"2019-Q2","Nebraska","1,780"
"2019-Q3","Nebraska","1,542"
"2019-Q4","Nebraska","1,402"
"1999-Q1","Nevada","833"
"1999-Q2","Nevada","937"
"1999-Q3","Nevada","607"
"1999-Q4","Nevada","708"
"2000-Q1","Nevada","626"
"2000-Q2","Nevada","1,008"
"2000-Q3","Nevada","761"
"2000-Q4","Nevada","947"
"2001-Q1","Nevada","870"
"2001-Q2","Nevada","885"
"2001-Q3","Nevada","825"
"2001-Q4","Nevada","912"
"2002-Q1","Nevada","880"
"2002-Q2","Nevada","1,037"
"2002-Q3","Nevada","699"
"2002-Q4","Nevada","1,081"
"2003-Q1","Nevada","1,044"
"2003-Q2","Nevada","1,245"
"2003-Q3","Nevada","353"
"2003-Q4","Nevada","928"
"2004-Q1","Nevada","1,390"
"2004-Q2","Nevada","1,543"
"2004-Q3","Nevada","483"
"2004-Q4","Nevada","1,350"
"2005-Q1","Nevada","1,510"
"2005-Q2","Nevada","2,327"
"2005-Q3","Nevada","575"
"2005-Q4","Nevada","1,428"
"2006-Q1","Nevada","1,577"
"2006-Q2","Nevada","2,574"
"2006-Q3","Nevada","586"
"2006-Q4","Nevada","1,507"
"2007-Q1","Nevada","1,569"
"2007-Q2","Nevada","2,642"
"2007-Q3","Nevada","522"
"2007-Q4","Nevada","1,571"
"2008-Q1","Nevada","1,527"
"2008-Q2","Nevada","2,525"
"2008-Q3","Nevada","521"
"2008-Q4","Nevada","1,470"
"2009-Q1","Nevada","1,550"
"2009-Q2","Nevada","2,367"
"2009-Q3","Nevada","532"
"2009-Q4","Nevada","1,487"
"2010-Q1","Nevada","1,515"
"2010-Q2","Nevada","2,387"
"2010-Q3","Nevada","497"
"2010-Q4","Nevada","1,453"
"2011-Q1","Nevada","1,578"
"2011-Q2","Nevada","2,807"
"2011-Q3","Nevada","619"
"2011-Q4","Nevada","1,504"
"2012-Q1","Nevada","1,494"
"2012-Q2","Nevada","2,845"
"2012-Q3","Nevada","618"
"2012-Q4","Nevada","1,596"
"2013-Q1","Nevada","1,805"
"2013-Q2","Nevada","2,998"
"2013-Q3","Nevada","657"
"2013-Q4","Nevada","1,718"
"2014-Q1","Nevada","1,874"
"2014-Q2","Nevada","2,893"
"2014-Q3","Nevada","656"
"2014-Q4","Nevada","1,864"
"2015-Q1","Nevada","1,930"
"2015-Q2","Nevada","3,083"
"2015-Q3","Nevada","734"
"2015-Q4","Nevada","1,946"
"2016-Q1","Nevada","2,071"
"2016-Q2","Nevada","3,274"
"2016-Q3","Nevada","1,138"
"2016-Q4","Nevada","2,067"
"2017-Q1","Nevada","2,146"
"2017-Q2","Nevada","3,411"
"2017-Q3","Nevada","1,152"
"2017-Q4","Nevada","2,174"
"2018-Q1","Nevada","2,294"
"2018-Q2","Nevada","3,949"
"2018-Q3","Nevada","1,168"
"2018-Q4","Nevada","2,281"
"2019-Q1","Nevada","2,481"
"2019-Q2","Nevada","4,082"
"2019-Q3","Nevada","1,255"
"2019-Q4","Nevada","2,451"
"1999-Q1","New Hampshire","253"
"1999-Q2","New Hampshire","323"
"1999-Q3","New Hampshire","247"
"1999-Q4","New Hampshire","289"
"2000-Q1","New Hampshire","288"
"2000-Q2","New Hampshire","349"
"2000-Q3","New Hampshire","273"
"2000-Q4","New Hampshire","333"
"2001-Q1","New Hampshire","330"
"2001-Q2","New Hampshire","824"
"2001-Q3","New Hampshire","320"
"2001-Q4","New Hampshire","379"
"2002-Q1","New Hampshire","823"
"2002-Q2","New Hampshire","365"
"2002-Q3","New Hampshire","339"
"2002-Q4","New Hampshire","412"
"2003-Q1","New Hampshire","819"
"2003-Q2","New Hampshire","387"
"2003-Q3","New Hampshire","354"
"2003-Q4","New Hampshire","427"
"2004-Q1","New Hampshire","825"
"2004-Q2","New Hampshire","447"
"2004-Q3","New Hampshire","372"
"2004-Q4","New Hampshire","449"
"2005-Q1","New Hampshire","754"
"2005-Q2","New Hampshire","468"
"2005-Q3","New Hampshire","427"
"2005-Q4","New Hampshire","457"
"2006-Q1","New Hampshire","725"
"2006-Q2","New Hampshire","501"
"2006-Q3","New Hampshire","400"
"2006-Q4","New Hampshire","460"
"2007-Q1","New Hampshire","847"
"2007-Q2","New Hampshire","514"
"2007-Q3","New Hampshire","403"
"2007-Q4","New Hampshire","499"
"2008-Q1","New Hampshire","839"
"2008-Q2","New Hampshire","538"
"2008-Q3","New Hampshire","410"
"2008-Q4","New Hampshire","379"
"2009-Q1","New Hampshire","818"
"2009-Q2","New Hampshire","485"
"2009-Q3","New Hampshire","416"
"2009-Q4","New Hampshire","401"
"2010-Q1","New Hampshire","811"
"2010-Q2","New Hampshire","532"
"2010-Q3","New Hampshire","463"
"2010-Q4","New Hampshire","406"
"2011-Q1","New Hampshire","825"
"2011-Q2","New Hampshire","623"
"2011-Q3","New Hampshire","412"
"2011-Q4","New Hampshire","414"
"2012-Q1","New Hampshire","811"
"2012-Q2","New Hampshire","539"
"2012-Q3","New Hampshire","441"
"2012-Q4","New Hampshire","477"
"2013-Q1","New Hampshire","826"
"2013-Q2","New Hampshire","584"
"2013-Q3","New Hampshire","472"
"2013-Q4","New Hampshire","387"
"2014-Q1","New Hampshire","811"
"2014-Q2","New Hampshire","573"
"2014-Q3","New Hampshire","484"
"2014-Q4","New Hampshire","443"
"2015-Q1","New Hampshire","901"
"2015-Q2","New Hampshire","645"
"2015-Q3","New Hampshire","497"
"2015-Q4","New Hampshire","486"
"2016-Q1","New Hampshire","964"
"2016-Q2","New Hampshire","656"
"2016-Q3","New Hampshire","522"
"2016-Q4","New Hampshire","481"
"2017-Q1","New Hampshire","913"
"2017-Q2","New Hampshire","556"
"2017-Q3","New Hampshire","530"
"2017-Q4","New Hampshire","517"
"2018-Q1","New Hampshire","959"
"2018-Q2","New Hampshire","760"
"2018-Q3","New Hampshire","583"
"2018-Q4","New Hampshire","607"
"2019-Q1","New Hampshire","957"
"2019-Q2","New Hampshire","758"
"2019-Q3","New Hampshire","547"
"2019-Q4","New Hampshire","639"
"1999-Q1","New Jersey","3,832"
"1999-Q2","New Jersey","5,536"
"1999-Q3","New Jersey","3,551"
"1999-Q4","New Jersey","4,227"
"2000-Q1","New Jersey","4,030"
"2000-Q2","New Jersey","6,289"
"2000-Q3","New Jersey","3,923"
"2000-Q4","New Jersey","4,502"
"2001-Q1","New Jersey","4,522"
"2001-Q2","New Jersey","6,297"
"2001-Q3","New Jersey","4,112"
"2001-Q4","New Jersey","4,161"
"2002-Q1","New Jersey","4,258"
"2002-Q2","New Jersey","5,829"
"2002-Q3","New Jersey","4,142"
"2002-Q4","New Jersey","4,696"
"2003-Q1","New Jersey","4,340"
"2003-Q2","New Jersey","6,756"
"2003-Q3","New Jersey","4,326"
"2003-Q4","New Jersey","5,046"
"2004-Q1","New Jersey","4,825"
"2004-Q2","New Jersey","7,135"
"2004-Q3","New Jersey","4,799"
"2004-Q4","New Jersey","5,458"
"2005-Q1","New Jersey","5,303"
"2005-Q2","New Jersey","8,719"
"2005-Q3","New Jersey","5,416"
"2005-Q4","New Jersey","5,865"
"2006-Q1","New Jersey","5,897"
"2006-Q2","New Jersey","9,460"
"2006-Q3","New Jersey","5,562"
"2006-Q4","New Jersey","6,500"
"2007-Q1","New Jersey","6,780"
"2007-Q2","New Jersey","10,644"
"2007-Q3","New Jersey","6,075"
"2007-Q4","New Jersey","6,945"
"2008-Q1","New Jersey","6,557"
"2008-Q2","New Jersey","11,039"
"2008-Q3","New Jersey","6,087"
"2008-Q4","New Jersey","6,257"
"2009-Q1","New Jersey","5,520"
"2009-Q2","New Jersey","9,210"
"2009-Q3","New Jersey","5,501"
"2009-Q4","New Jersey","5,812"
"2010-Q1","New Jersey","5,594"
"2010-Q2","New Jersey","8,995"
"2010-Q3","New Jersey","5,481"
"2010-Q4","New Jersey","6,285"
"2011-Q1","New Jersey","6,047"
"2011-Q2","New Jersey","9,370"
"2011-Q3","New Jersey","4,575"
"2011-Q4","New Jersey","6,206"
"2012-Q1","New Jersey","6,433"
"2012-Q2","New Jersey","10,242"
"2012-Q3","New Jersey","4,676"
"2012-Q4","New Jersey","6,116"
