"","state","year","revenue"
"175","Florida",2005,3.8511e+10
"176","Florida",2006,3.9866e+10
"177","Florida",2007,3.6986e+10
"178","Florida",2008,3.412e+10
"179","Florida",2009,3.1197e+10
"180","Florida",2010,3.19e+10
"181","Florida",2011,3.2915e+10
"182","Florida",2012,3.4858e+10
"183","Florida",2013,3.7308e+10
"184","Florida",2014,3.7635e+10
"185","Florida",2015,3.8421e+10
"186","Florida",2016,4.0405e+10
"187","Florida",2017,4.3256e+10
"188","Florida",2018,4.442e+10
"189","Florida",2019,4.6543e+10
"190","Georgia",1999,1.2984e+10
"191","Georgia",2000,1.3958e+10
"192","Georgia",2001,1.4015e+10
"193","Georgia",2002,1.3546e+10
"194","Georgia",2003,1.3682e+10
"195","Georgia",2004,1.5256e+10
"196","Georgia",2005,1.6347e+10
"197","Georgia",2006,1.792e+10
"198","Georgia",2007,1.863e+10
"199","Georgia",2008,1.7789e+10
"200","Georgia",2009,1.4934e+10
"201","Georgia",2010,1.5277e+10
"202","Georgia",2011,1.5907e+10
"203","Georgia",2012,1.6535e+10
"204","Georgia",2013,1.7852e+10
"205","Georgia",2014,1.879e+10
"206","Georgia",2015,2.0177e+10
"207","Georgia",2016,2.1528e+10
"208","Georgia",2017,2.2334e+10
"209","Georgia",2018,2.3489e+10
"210","Georgia",2019,2.3998e+10
"211","Hawaii",1999,3.176e+09
"212","Hawaii",2000,3.43e+09
"213","Hawaii",2001,3.52e+09
"214","Hawaii",2002,3.475e+09
"215","Hawaii",2003,3.598e+09
"216","Hawaii",2004,4.063e+09
"217","Hawaii",2005,4.721e+09
"218","Hawaii",2006,5.011e+09
"219","Hawaii",2007,5.193e+09
"220","Hawaii",2008,5.102e+09
"221","Hawaii",2009,4.508e+09
"222","Hawaii",2010,4.803e+09
"223","Hawaii",2011,5.063e+09
"224","Hawaii",2012,5.818e+09
"225","Hawaii",2013,6.078e+09
"226","Hawaii",2014,6.252e+09
"227","Hawaii",2015,6.731e+09
"228","Hawaii",2016,6.919e+09
"229","Hawaii",2017,7.25e+09
"230","Hawaii",2018,7.994e+09
"231","Hawaii",2019,8.431e+09
"232","Idaho",1999,2.262e+09
"233","Idaho",2000,2.439e+09
"234","Idaho",2001,2.626e+09
"235","Idaho",2002,2.653e+09
"236","Idaho",2003,2.468e+09
"237","Idaho",2004,2.594e+09
"238","Idaho",2005,3.003e+09
"239","Idaho",2006,3.267e+09
"240","Idaho",2007,3.702e+09
"241","Idaho",2008,3.529e+09
"242","Idaho",2009,3.035e+09
"243","Idaho",2010,3.032e+09
"244","Idaho",2011,3.315e+09
"245","Idaho",2012,3.467e+09
"246","Idaho",2013,3.656e+09
"247","Idaho",2014,3.736e+09
"248","Idaho",2015,4.074e+09
"249","Idaho",2016,4.336e+09
"250","Idaho",2017,4.634e+09
"251","Idaho",2018,4.784e+09
"252","Idaho",2019,5.033e+09
"253","Illinois",1999,2.1103e+10
"254","Illinois",2000,2.4006e+10
"255","Illinois",2001,2.2877e+10
"256","Illinois",2002,2.2574e+10
"257","Illinois",2003,2.281e+10
"258","Illinois",2004,2.4459e+10
"259","Illinois",2005,2.6983e+10
"260","Illinois",2006,2.7902e+10
"261","Illinois",2007,2.9202e+10
"262","Illinois",2008,2.962e+10
"263","Illinois",2009,2.8013e+10
"264","Illinois",2010,2.9241e+10
"265","Illinois",2011,3.3576e+10
"266","Illinois",2012,3.6816e+10
"267","Illinois",2013,3.9994e+10
"268","Illinois",2014,4.0092e+10
"269","Illinois",2015,3.9548e+10
"270","Illinois",2016,3.8395e+10
"271","Illinois",2017,3.7064e+10
"272","Illinois",2018,4.1952e+10
"273","Illinois",2019,4.6406e+10
"274","Indiana",1999,1.0738e+10
"275","Indiana",2000,1.0514e+10
"276","Indiana",2001,1.0449e+10
"277","Indiana",2002,1.0481e+10
"278","Indiana",2003,1.1697e+10
"279","Indiana",2004,1.24e+10
"280","Indiana",2005,1.3193e+10
"281","Indiana",2006,1.3653e+10
"282","Indiana",2007,1.4641e+10
"283","Indiana",2008,1.5246e+10
"284","Indiana",2009,1.3738e+10
"285","Indiana",2010,1.3998e+10
"286","Indiana",2011,1.5251e+10
"287","Indiana",2012,1.6337e+10
"288","Indiana",2013,1.6763e+10
"289","Indiana",2014,1.6671e+10
"290","Indiana",2015,1.9624e+10
"291","Indiana",2016,2.0122e+10
"292","Indiana",2017,2.0941e+10
"293","Indiana",2018,2.2116e+10
"294","Indiana",2019,2.2775e+10
"295","Iowa",1999,4.995e+09
"296","Iowa",2000,5.15e+09
"297","Iowa",2001,5.205e+09
"298","Iowa",2002,5.014e+09
"299","Iowa",2003,4.968e+09
"300","Iowa",2004,5.258e+09
"301","Iowa",2005,5.259e+09
"302","Iowa",2006,5.569e+09
"303","Iowa",2007,6.253e+09
"304","Iowa",2008,6.653e+09
"305","Iowa",2009,6.397e+09
"306","Iowa",2010,6.507e+09
"307","Iowa",2011,6.998e+09
"308","Iowa",2012,7.505e+09
"309","Iowa",2013,7.848e+09
"310","Iowa",2014,8.064e+09
"311","Iowa",2015,9.355e+09
"312","Iowa",2016,9.587e+09
"313","Iowa",2017,9.736e+09
"314","Iowa",2018,9.894e+09
"315","Iowa",2019,1.0801e+10
"316","Kansas",1999,4.622e+09
"317","Kansas",2000,4.896e+09
"318","Kansas",2001,5.003e+09
"319","Kansas",2002,4.917e+09
"320","Kansas",2003,5.156e+09
"321","Kansas",2004,5.345e+09
"322","Kansas",2005,5.869e+09
"323","Kansas",2006,6.519e+09
"324","Kansas",2007,7.064e+09
"325","Kansas",2008,7.166e+09
"326","Kansas",2009,6.39e+09
"327","Kansas",2010,6.681e+09
"328","Kansas",2011,7.092e+09
"329","Kansas",2012,7.71e+09
"330","Kansas",2013,7.379e+09
"331","Kansas",2014,7.397e+09
"332","Kansas",2015,8.029e+09
"333","Kansas",2016,8.061e+09
"334","Kansas",2017,8.549e+09
"335","Kansas",2018,9.852e+09
"336","Kansas",2019,1.0238e+10
"337","Kentucky",1999,7.121e+09
"338","Kentucky",2000,7.868e+09
"339","Kentucky",2001,7.856e+09
"340","Kentucky",2002,7.865e+09
"341","Kentucky",2003,7.812e+09
"342","Kentucky",2004,8.2e+09
"343","Kentucky",2005,9.085e+09
"344","Kentucky",2006,9.731e+09
"345","Kentucky",2007,9.81e+09
"346","Kentucky",2008,1.0063e+10
"347","Kentucky",2009,9.53e+09
"348","Kentucky",2010,9.849e+09
"349","Kentucky",2011,1.0289e+10
"350","Kentucky",2012,1.0729e+10
"351","Kentucky",2013,1.0913e+10
"352","Kentucky",2014,1.1176e+10
"353","Kentucky",2015,1.1684e+10
"354","Kentucky",2016,1.1972e+10
"355","Kentucky",2017,1.2177e+10
"356","Kentucky",2018,1.2552e+10
"357","Kentucky",2019,1.3018e+10
"358","Louisiana",1999,6.021e+09
"359","Louisiana",2000,6.643e+09
"360","Louisiana",2001,7.397e+09
"361","Louisiana",2002,7.24e+09
"362","Louisiana",2003,7.4e+09
"363","Louisiana",2004,7.788e+09
"364","Louisiana",2005,7.974e+09
"365","Louisiana",2006,9.805e+09
"366","Louisiana",2007,1.0475e+10
"367","Louisiana",2008,1.071e+10
"368","Louisiana",2009,9.487e+09
"369","Louisiana",2010,8.01e+09
"370","Louisiana",2011,8.48e+09
"371","Louisiana",2012,9.031e+09
"372","Louisiana",2013,9.775e+09
"373","Louisiana",2014,1.0134e+10
"374","Louisiana",2015,9.406e+09
"375","Louisiana",2016,1.0392e+10
"376","Louisiana",2017,1.1698e+10
"377","Louisiana",2018,1.21e+10
"378","Louisiana",2019,1.2593e+10
"379","Maine",1999,2.568e+09
"380","Maine",2000,2.653e+09
"381","Maine",2001,2.678e+09
"382","Maine",2002,2.672e+09
"383","Maine",2003,2.787e+09
"384","Maine",2004,2.963e+09
"385","Maine",2005,3.232e+09
"386","Maine",2006,3.602e+09
"387","Maine",2007,3.473e+09
"388","Maine",2008,3.654e+09
"389","Maine",2009,3.39e+09
"390","Maine",2010,3.564e+09
"391","Maine",2011,3.734e+09
"392","Maine",2012,3.781e+09
"393","Maine",2013,3.897e+09
"394","Maine",2014,3.949e+09
"395","Maine",2015,4.308e+09
"396","Maine",2016,4.194e+09
"397","Maine",2017,4.305e+09
"398","Maine",2018,4.552e+09
"399","Maine",2019,4.793e+09
"400","Maryland",1999,9.933e+09
"401","Maryland",2000,1.0564e+10
"402","Maryland",2001,1.1161e+10
"403","Maryland",2002,1.0986e+10
"404","Maryland",2003,1.1329e+10
"405","Maryland",2004,1.3062e+10
"406","Maryland",2005,1.3909e+10
"407","Maryland",2006,1.4713e+10
"408","Maryland",2007,1.5541e+10
"409","Maryland",2008,1.6897e+10
"410","Maryland",2009,1.547e+10
"411","Maryland",2010,1.5074e+10
"412","Maryland",2011,1.6203e+10
"413","Maryland",2012,1.6839e+10
"414","Maryland",2013,1.8775e+10
"415","Maryland",2014,1.9306e+10
"416","Maryland",2015,2.0599e+10
"417","Maryland",2016,2.0985e+10
"418","Maryland",2017,2.1858e+10
"419","Maryland",2018,2.289e+10
"420","Maryland",2019,2.4543e+10
"421","Massachusetts",1999,1.5361e+10
"422","Massachusetts",2000,1.6666e+10
"423","Massachusetts",2001,1.6733e+10
"424","Massachusetts",2002,1.4945e+10
"425","Massachusetts",2003,1.597e+10
"426","Massachusetts",2004,1.7185e+10
"427","Massachusetts",2005,1.8494e+10
"428","Massachusetts",2006,1.9543e+10
"429","Massachusetts",2007,2.1078e+10
"430","Massachusetts",2008,2.1991e+10
"431","Massachusetts",2009,1.9172e+10
"432","Massachusetts",2010,2.0799e+10
"433","Massachusetts",2011,2.2143e+10
"434","Massachusetts",2012,2.2856e+10
"435","Massachusetts",2013,2.4404e+10
"436","Massachusetts",2014,2.5533e+10
"437","Massachusetts",2015,2.7084e+10
"438","Massachusetts",2016,2.7255e+10
"439","Massachusetts",2017,2.8159e+10
"440","Massachusetts",2018,2.9867e+10
"441","Massachusetts",2019,3.2037e+10
"442","Michigan",1999,2.0686e+10
"443","Michigan",2000,2.3116e+10
"444","Michigan",2001,2.2682e+10
"445","Michigan",2002,2.2544e+10
"446","Michigan",2003,2.3393e+10
"447","Michigan",2004,2.1567e+10
"448","Michigan",2005,2.4389e+10
"449","Michigan",2006,2.3273e+10
"450","Michigan",2007,2.4156e+10
"451","Michigan",2008,2.5292e+10
"452","Michigan",2009,2.2456e+10
"453","Michigan",2010,2.2135e+10
"454","Michigan",2011,2.4215e+10
"455","Michigan",2012,2.379e+10
"456","Michigan",2013,2.4811e+10
"457","Michigan",2014,2.5505e+10
"458","Michigan",2015,2.7181e+10
"459","Michigan",2016,2.7938e+10
"460","Michigan",2017,2.8482e+10
"461","Michigan",2018,3.048e+10
"462","Michigan",2019,3.0714e+10
"463","Minnesota",1999,1.2245e+10
"464","Minnesota",2000,1.3894e+10
"465","Minnesota",2001,1.4043e+10
"466","Minnesota",2002,1.3846e+10
"467","Minnesota",2003,1.424e+10
"468","Minnesota",2004,1.5038e+10
"469","Minnesota",2005,1.6603e+10
"470","Minnesota",2006,1.755e+10
"471","Minnesota",2007,1.7963e+10
"472","Minnesota",2008,1.8297e+10
"473","Minnesota",2009,1.6802e+10
"474","Minnesota",2010,1.8095e+10
"475","Minnesota",2011,1.9771e+10
"476","Minnesota",2012,2.0672e+10
"477","Minnesota",2013,2.3886e+10
"478","Minnesota",2014,2.3739e+10
"479","Minnesota",2015,2.4914e+10
"480","Minnesota",2016,2.5284e+10
"481","Minnesota",2017,2.6223e+10
"482","Minnesota",2018,2.7127e+10
"483","Minnesota",2019,2.8872e+10
"484","Mississippi",1999,4.102e+09
"485","Mississippi",2000,4.453e+09
"486","Mississippi",2001,4.865e+09
"487","Mississippi",2002,4.931e+09
"488","Mississippi",2003,5.038e+09
"489","Mississippi",2004,5.21e+09
"490","Mississippi",2005,5.581e+09
"491","Mississippi",2006,6.291e+09
"492","Mississippi",2007,6.628e+09
"493","Mississippi",2008,6.795e+09
"494","Mississippi",2009,6.234e+09
"495","Mississippi",2010,6.44e+09
"496","Mississippi",2011,6.611e+09
"497","Mississippi",2012,7.065e+09
"498","Mississippi",2013,7.529e+09
"499","Mississippi",2014,7.619e+09
"500","Mississippi",2015,7.765e+09
"501","Mississippi",2016,7.801e+09
"502","Mississippi",2017,7.714e+09
"503","Mississippi",2018,7.93e+09
"504","Mississippi",2019,8.336e+09
"505","Missouri",1999,8.599e+09
"506","Missouri",2000,8.653e+09
"507","Missouri",2001,9.039e+09
"508","Missouri",2002,8.74e+09
"509","Missouri",2003,8.734e+09
"510","Missouri",2004,9.272e+09
"511","Missouri",2005,9.693e+09
"512","Missouri",2006,1.0398e+10
"513","Missouri",2007,1.0895e+10
"514","Missouri",2008,1.0941e+10
"515","Missouri",2009,9.924e+09
"516","Missouri",2010,9.922e+09
"517","Missouri",2011,1.0206e+10
"518","Missouri",2012,1.1076e+10
"519","Missouri",2013,1.1391e+10
"520","Missouri",2014,1.1518e+10
"521","Missouri",2015,1.2232e+10
"522","Missouri",2016,1.2346e+10
"523","Missouri",2017,1.2764e+10
"524","Missouri",2018,1.2974e+10
"525","Missouri",2019,1.3433e+10
"526","Montana",1999,1.333e+09
"527","Montana",2000,1.465e+09
"528","Montana",2001,1.507e+09
"529","Montana",2002,1.452e+09
"530","Montana",2003,1.55e+09
"531","Montana",2004,1.712e+09
"532","Montana",2005,1.966e+09
"533","Montana",2006,2.125e+09
"534","Montana",2007,2.44e+09
"535","Montana",2008,2.548e+09
"536","Montana",2009,2.187e+09
"537","Montana",2010,2.222e+09
"538","Montana",2011,2.433e+09
"539","Montana",2012,2.493e+09
"540","Montana",2013,2.674e+09
"541","Montana",2014,2.707e+09
"542","Montana",2015,2.83e+09
"543","Montana",2016,2.651e+09
"544","Montana",2017,2.816e+09
"545","Montana",2018,3.093e+09
"546","Montana",2019,3.252e+09
"547","Nebraska",1999,2.769e+09
"548","Nebraska",2000,3.044e+09
"549","Nebraska",2001,3.072e+09
"550","Nebraska",2002,3.046e+09
"551","Nebraska",2003,3.471e+09
"552","Nebraska",2004,3.769e+09
"553","Nebraska",2005,3.829e+09
"554","Nebraska",2006,3.966e+09
"555","Nebraska",2007,4.19e+09
"556","Nebraska",2008,4.145e+09
"557","Nebraska",2009,3.774e+09
"558","Nebraska",2010,3.76e+09
"559","Nebraska",2011,4.239e+09
"560","Nebraska",2012,4.458e+09
"561","Nebraska",2013,4.776e+09
"562","Nebraska",2014,5.033e+09
"563","Nebraska",2015,5.137e+09
"564","Nebraska",2016,5.076e+09
"565","Nebraska",2017,5.25e+09
"566","Nebraska",2018,5.498e+09
"567","Nebraska",2019,6.018e+09
"568","Nevada",1999,3.085e+09
"569","Nevada",2000,3.342e+09
"570","Nevada",2001,3.492e+09
"571","Nevada",2002,3.697e+09
"572","Nevada",2003,3.57e+09
"573","Nevada",2004,4.766e+09
"574","Nevada",2005,5.84e+09
"575","Nevada",2006,6.244e+09
"576","Nevada",2007,6.304e+09
"577","Nevada",2008,6.043e+09
"578","Nevada",2009,5.936e+09
"579","Nevada",2010,5.852e+09
"580","Nevada",2011,6.508e+09
"581","Nevada",2012,6.553e+09
"582","Nevada",2013,7.178e+09
"583","Nevada",2014,7.287e+09
"584","Nevada",2015,7.693e+09
"585","Nevada",2016,8.55e+09
"586","Nevada",2017,8.883e+09
"587","Nevada",2018,9.692e+09
"588","Nevada",2019,1.0269e+10
"589","New Hampshire",1999,1.112e+09
"590","New Hampshire",2000,1.243e+09
"591","New Hampshire",2001,1.853e+09
"592","New Hampshire",2002,1.939e+09
"593","New Hampshire",2003,1.987e+09
"594","New Hampshire",2004,2.093e+09
"595","New Hampshire",2005,2.106e+09
"596","New Hampshire",2006,2.086e+09
"597","New Hampshire",2007,2.263e+09
"598","New Hampshire",2008,2.166e+09
"599","New Hampshire",2009,2.12e+09
"600","New Hampshire",2010,2.212e+09
"601","New Hampshire",2011,2.274e+09
"602","New Hampshire",2012,2.268e+09
"603","New Hampshire",2013,2.269e+09
"604","New Hampshire",2014,2.311e+09
"605","New Hampshire",2015,2.529e+09
"606","New Hampshire",2016,2.623e+09
"607","New Hampshire",2017,2.516e+09
"608","New Hampshire",2018,2.909e+09
"609","New Hampshire",2019,2.901e+09
"610","New Jersey",1999,1.7146e+10
"611","New Jersey",2000,1.8744e+10
"612","New Jersey",2001,1.9092e+10
"613","New Jersey",2002,1.8925e+10
"614","New Jersey",2003,2.0468e+10
"615","New Jersey",2004,2.2217e+10
"616","New Jersey",2005,2.5303e+10
"617","New Jersey",2006,2.7419e+10
"618","New Jersey",2007,3.0444e+10
"619","New Jersey",2008,2.994e+10
"620","New Jersey",2009,2.6043e+10
"621","New Jersey",2010,2.6355e+10
"622","New Jersey",2011,2.6198e+10
"623","New Jersey",2012,2.7467e+10
"624","New Jersey",2013,2.9681e+10
"625","New Jersey",2014,3.0435e+10
"626","New Jersey",2015,3.1882e+10
"627","New Jersey",2016,3.1804e+10
"628","New Jersey",2017,3.3874e+10
"629","New Jersey",2018,3.588e+10
"630","New Jersey",2019,3.9011e+10
"631","New Mexico",1999,3.571e+09
"632","New Mexico",2000,3.918e+09
"633","New Mexico",2001,3.925e+09
"634","New Mexico",2002,3.829e+09
"635","New Mexico",2003,4.096e+09
"636","New Mexico",2004,4.492e+09
"637","New Mexico",2005,4.498e+09
"638","New Mexico",2006,5.351e+09
"639","New Mexico",2007,5.151e+09
"640","New Mexico",2008,5.152e+09
"641","New Mexico",2009,4.51e+09
"642","New Mexico",2010,4.779e+09
"643","New Mexico",2011,5.353e+09
"644","New Mexico",2012,5.48e+09
"645","New Mexico",2013,5.693e+09
"646","New Mexico",2014,6.044e+09
"647","New Mexico",2015,5.66e+09
"648","New Mexico",2016,5.382e+09
"649","New Mexico",2017,5.586e+09
"650","New Mexico",2018,6.575e+09
"651","New Mexico",2019,7.814e+09
"652","New York",1999,4.0338e+10
"653","New York",2000,4.3838e+10
"654","New York",2001,4.498e+10
"655","New York",2002,4.0543e+10
"656","New York",2003,4.3298e+10
"657","New York",2004,4.901e+10
"658","New York",2005,5.3602e+10
"659","New York",2006,5.7664e+10
"660","New York",2007,6.0628e+10
"661","New York",2008,6.4285e+10
"662","New York",2009,5.5664e+10
"663","New York",2010,6.133e+10
"664","New York",2011,7.1237e+10
"665","New York",2012,7.1579e+10
"666","New York",2013,7.5999e+10
"667","New York",2014,7.7672e+10
"668","New York",2015,8.3065e+10
"669","New York",2016,8.0946e+10
"670","New York",2017,8.3621e+10
"671","New York",2018,8.569e+10
"672","New York",2019,8.995e+10
"673","North Carolina",1999,1.4985e+10
"674","North Carolina",2000,1.547e+10
"675","North Carolina",2001,1.5767e+10
"676","North Carolina",2002,1.5919e+10
"677","North Carolina",2003,1.6249e+10
"678","North Carolina",2004,1.7343e+10
"679","North Carolina",2005,1.9499e+10
"680","North Carolina",2006,2.1486e+10
"681","North Carolina",2007,2.2874e+10
"682","North Carolina",2008,2.2391e+10
"683","North Carolina",2009,2.0844e+10
"684","North Carolina",2010,2.1658e+10
"685","North Carolina",2011,2.2501e+10
"686","North Carolina",2012,2.3099e+10
"687","North Carolina",2013,2.4028e+10
"688","North Carolina",2014,2.2933e+10
"689","North Carolina",2015,2.571e+10
"690","North Carolina",2016,2.6647e+10
"691","North Carolina",2017,2.6865e+10
"692","North Carolina",2018,2.8313e+10
"693","North Carolina",2019,2.9724e+10
"694","North Dakota",1999,1.031e+09
"695","North Dakota",2000,1.095e+09
"696","North Dakota",2001,1.176e+09
"697","North Dakota",2002,1.147e+09
"698","North Dakota",2003,1.213e+09
"699","North Dakota",2004,1.294e+09
"700","North Dakota",2005,1.512e+09
"701","North Dakota",2006,1.692e+09
"702","North Dakota",2007,1.976e+09
"703","North Dakota",2008,2.601e+09
"704","North Dakota",2009,2.262e+09
"705","North Dakota",2010,3.062e+09
"706","North Dakota",2011,4.589e+09
"707","North Dakota",2012,4.451e+09
"708","North Dakota",2013,6.127e+09
"709","North Dakota",2014,6.402e+09
"710","North Dakota",2015,4.788e+09
"711","North Dakota",2016,3.582e+09
"712","North Dakota",2017,3.911e+09
"713","North Dakota",2018,5.039e+09
"714","North Dakota",2019,4.867e+09
"715","Ohio",1999,1.9456e+10
"716","Ohio",2000,2.1206e+10
"717","Ohio",2001,1.9932e+10
"718","Ohio",2002,2.0789e+10
"719","Ohio",2003,2.0999e+10
"720","Ohio",2004,2.3968e+10
"721","Ohio",2005,2.3422e+10
"722","Ohio",2006,2.4489e+10
"723","Ohio",2007,2.5985e+10
"724","Ohio",2008,2.7074e+10
"725","Ohio",2009,2.3372e+10
"726","Ohio",2010,2.37e+10
"727","Ohio",2011,2.5788e+10
"728","Ohio",2012,2.6079e+10
"729","Ohio",2013,2.7803e+10
"730","Ohio",2014,2.7456e+10
"731","Ohio",2015,2.8987e+10
