"","state","year","spending"
"187","Florida",2017,1199983912.66667
"188","Florida",2018,1280111140
"189","Florida",2019,1378491231
"190","Georgia",1999,441902422
"191","Georgia",2000,451611968.666667
"192","Georgia",2001,483525533.333333
"193","Georgia",2002,517101729.666667
"194","Georgia",2003,538492522
"195","Georgia",2004,572375640
"196","Georgia",2005,631948287
"197","Georgia",2006,681934355
"198","Georgia",2007,727649928.333333
"199","Georgia",2008,758814645.666667
"200","Georgia",2009,765270682.333333
"201","Georgia",2010,744051172
"202","Georgia",2011,725410605.333333
"203","Georgia",2012,722109588.666667
"204","Georgia",2013,729168184
"205","Georgia",2014,758515130.666667
"206","Georgia",2015,810996274
"207","Georgia",2016,905582278
"208","Georgia",2017,989428354.666667
"209","Georgia",2018,1077866018
"210","Georgia",2019,1165748889.33333
"211","Hawaii",1999,89757512
"212","Hawaii",2000,88640092
"213","Hawaii",2001,78787385.3333333
"214","Hawaii",2002,132789615
"215","Hawaii",2003,169577098.333333
"216","Hawaii",2004,178515959
"217","Hawaii",2005,204727139.333333
"218","Hawaii",2006,235148679
"219","Hawaii",2007,241125052.666667
"220","Hawaii",2008,220570872
"221","Hawaii",2009,214301878
"222","Hawaii",2010,205976261.333333
"223","Hawaii",2011,204054666
"224","Hawaii",2012,202261407
"225","Hawaii",2013,206183743.666667
"226","Hawaii",2014,220307392.666667
"227","Hawaii",2015,235835145
"228","Hawaii",2016,243456260.666667
"229","Hawaii",2017,255799866.666667
"230","Hawaii",2018,291919582.333333
"231","Hawaii",2019,309850730.666667
"232","Idaho",1999,72210727
"233","Idaho",2000,77269400.3333333
"234","Idaho",2001,81891990.3333333
"235","Idaho",2002,84693134.3333333
"236","Idaho",2003,86258895
"237","Idaho",2004,89257040.6666667
"238","Idaho",2005,93379608.6666667
"239","Idaho",2006,98135650.3333333
"240","Idaho",2007,105107763.333333
"241","Idaho",2008,111518852.666667
"242","Idaho",2009,112499885.333333
"243","Idaho",2010,108499323.333333
"244","Idaho",2011,104675551.333333
"245","Idaho",2012,106471166
"246","Idaho",2013,108234835.666667
"247","Idaho",2014,111016396.666667
"248","Idaho",2015,115629377.333333
"249","Idaho",2016,122720004.333333
"250","Idaho",2017,133341971.333333
"251","Idaho",2018,143226646.333333
"252","Idaho",2019,153206907.666667
"253","Illinois",1999,861098372
"254","Illinois",2000,921350333.333333
"255","Illinois",2001,1000036487.33333
"256","Illinois",2002,1052729867.33333
"257","Illinois",2003,1105487240
"258","Illinois",2004,1160669666.33333
"259","Illinois",2005,1205009660.66667
"260","Illinois",2006,1287827699.33333
"261","Illinois",2007,1388362503.66667
"262","Illinois",2008,1479689343.33333
"263","Illinois",2009,1579330269
"264","Illinois",2010,1643644196
"265","Illinois",2011,1666598768.33333
"266","Illinois",2012,1712239113.33333
"267","Illinois",2013,1790616119.66667
"268","Illinois",2014,1896166689.66667
"269","Illinois",2015,1980811443
"270","Illinois",2016,2144635686.66667
"271","Illinois",2017,2254110687.66667
"272","Illinois",2018,2311917472.66667
"273","Illinois",2019,2472696669.66667
"274","Indiana",1999,312521202
"275","Indiana",2000,325286659.333333
"276","Indiana",2001,338250222
"277","Indiana",2002,351842563
"278","Indiana",2003,371720479.666667
"279","Indiana",2004,396193317
"280","Indiana",2005,406336460.333333
"281","Indiana",2006,416952294.666667
"282","Indiana",2007,399612621.333333
"283","Indiana",2008,430572946.666667
"284","Indiana",2009,460424707.333333
"285","Indiana",2010,459138549
"286","Indiana",2011,470242665.666667
"287","Indiana",2012,479238188
"288","Indiana",2013,482768939.666667
"289","Indiana",2014,493292520.333333
"290","Indiana",2015,508398155.666667
"291","Indiana",2016,529744954.666667
"292","Indiana",2017,554417036.333333
"293","Indiana",2018,586682506.333333
"294","Indiana",2019,625722600
"295","Iowa",1999,211398628
"296","Iowa",2000,218168510.666667
"297","Iowa",2001,229351605.333333
"298","Iowa",2002,232666314.666667
"299","Iowa",2003,230201343
"300","Iowa",2004,224088049.666667
"301","Iowa",2005,233191872
"302","Iowa",2006,241107880
"303","Iowa",2007,252437482.666667
"304","Iowa",2008,265145713
"305","Iowa",2009,273417134.333333
"306","Iowa",2010,274550139.666667
"307","Iowa",2011,276408459
"308","Iowa",2012,287019791
"309","Iowa",2013,300539653.333333
"310","Iowa",2014,313607067
"311","Iowa",2015,327286466
"312","Iowa",2016,338141002.333333
"313","Iowa",2017,350330131.666667
"314","Iowa",2018,363579093.333333
"315","Iowa",2019,373720653
"316","Kansas",1999,168168645
"317","Kansas",2000,178216321.666667
"318","Kansas",2001,197795243.333333
"319","Kansas",2002,200306824.333333
"320","Kansas",2003,205269950
"321","Kansas",2004,212548983.666667
"322","Kansas",2005,223220504
"323","Kansas",2006,238871917
"324","Kansas",2007,257062163.666667
"325","Kansas",2008,272199487.333333
"326","Kansas",2009,274908789.666667
"327","Kansas",2010,274938591
"328","Kansas",2011,284095957.666667
"329","Kansas",2012,289672217.333333
"330","Kansas",2013,304045084
"331","Kansas",2014,317945226
"332","Kansas",2015,318897001.666667
"333","Kansas",2016,324554118.666667
"334","Kansas",2017,349093846.333333
"335","Kansas",2018,374901719.666667
"336","Kansas",2019,409195767.666667
"337","Kentucky",1999,146108056
"338","Kentucky",2000,152369093.333333
"339","Kentucky",2001,163435648.666667
"340","Kentucky",2002,174434088.333333
"341","Kentucky",2003,192031127.666667
"342","Kentucky",2004,193562104
"343","Kentucky",2005,206716395.666667
"344","Kentucky",2006,226635062
"345","Kentucky",2007,245103294
"346","Kentucky",2008,257659082.333333
"347","Kentucky",2009,267182857
"348","Kentucky",2010,276658624
"349","Kentucky",2011,287711143
"350","Kentucky",2012,293046114
"351","Kentucky",2013,297755386.666667
"352","Kentucky",2014,308845614.666667
"353","Kentucky",2015,321355161.333333
"354","Kentucky",2016,332978783.666667
"355","Kentucky",2017,358634751.333333
"356","Kentucky",2018,377671083
"357","Kentucky",2019,397580449.666667
"358","Louisiana",1999,176747140
"359","Louisiana",2000,180357198.666667
"360","Louisiana",2001,193664956
"361","Louisiana",2002,209373850.666667
"362","Louisiana",2003,226495833.333333
"363","Louisiana",2004,239188636
"364","Louisiana",2005,233202177
"365","Louisiana",2006,249715903
"366","Louisiana",2007,285164116.666667
"367","Louisiana",2008,322036246.666667
"368","Louisiana",2009,349269162
"369","Louisiana",2010,365338849
"370","Louisiana",2011,426060773
"371","Louisiana",2012,458332039.333333
"372","Louisiana",2013,463621123.666667
"373","Louisiana",2014,476572044.666667
"374","Louisiana",2015,483466598.666667
"375","Louisiana",2016,491935616.666667
"376","Louisiana",2017,509339834.333333
"377","Louisiana",2018,527558734
"378","Louisiana",2019,540114527.333333
"379","Maine",1999,49280504
"380","Maine",2000,52603173.3333333
"381","Maine",2001,57839430.6666667
"382","Maine",2002,62757342
"383","Maine",2003,65234103
"384","Maine",2004,69787762.3333333
"385","Maine",2005,76233738
"386","Maine",2006,85966740.3333333
"387","Maine",2007,99250282
"388","Maine",2008,133161514.333333
"389","Maine",2009,150223888.666667
"390","Maine",2010,154102946.333333
"391","Maine",2011,153333177
"392","Maine",2012,149257089.666667
"393","Maine",2013,158796613.333333
"394","Maine",2014,167675679.666667
"395","Maine",2015,173260704.333333
"396","Maine",2016,179068135
"397","Maine",2017,186689036.666667
"398","Maine",2018,194341078
"399","Maine",2019,203096165
"400","Maryland",1999,271035191
"401","Maryland",2000,292133823.666667
"402","Maryland",2001,311051566.666667
"403","Maryland",2002,310814043.333333
"404","Maryland",2003,325374867
"405","Maryland",2004,359443261.666667
"406","Maryland",2005,384989533.333333
"407","Maryland",2006,418400215.333333
"408","Maryland",2007,479688854.333333
"409","Maryland",2008,521108742.666667
"410","Maryland",2009,536934443.333333
"411","Maryland",2010,532250731
"412","Maryland",2011,533479334.666667
"413","Maryland",2012,541199279.333333
"414","Maryland",2013,554723273
"415","Maryland",2014,582186060
"416","Maryland",2015,599420902
"417","Maryland",2016,597990880.666667
"418","Maryland",2017,612282871.666667
"419","Maryland",2018,638624955.666667
"420","Maryland",2019,677974300
"421","Massachusetts",1999,405749873
"422","Massachusetts",2000,428316011
"423","Massachusetts",2001,529824134.666667
"424","Massachusetts",2002,601863165.333333
"425","Massachusetts",2003,604742578.333333
"426","Massachusetts",2004,663397581.666667
"427","Massachusetts",2005,665073376.333333
"428","Massachusetts",2006,682639950.333333
"429","Massachusetts",2007,791078986
"430","Massachusetts",2008,916616823.333333
"431","Massachusetts",2009,982257508.333333
"432","Massachusetts",2010,967086160
"433","Massachusetts",2011,984965138.333333
"434","Massachusetts",2012,1028808538.33333
"435","Massachusetts",2013,1074824532.33333
"436","Massachusetts",2014,1130655440.33333
"437","Massachusetts",2015,1181293360.66667
"438","Massachusetts",2016,1245611857.66667
"439","Massachusetts",2017,1310230810.66667
"440","Massachusetts",2018,1408638162.33333
"441","Massachusetts",2019,1502593617.33333
"442","Michigan",1999,921491284
"443","Michigan",2000,903620242
"444","Michigan",2001,957740288.333333
"445","Michigan",2002,1043108608.66667
"446","Michigan",2003,1103255172.33333
"447","Michigan",2004,1157861131.33333
"448","Michigan",2005,1199105385
"449","Michigan",2006,1246153754.33333
"450","Michigan",2007,1272493927.66667
"451","Michigan",2008,1296807801
"452","Michigan",2009,1308347798.66667
"453","Michigan",2010,1282443189
"454","Michigan",2011,1262120716.33333
"455","Michigan",2012,1253252666
"456","Michigan",2013,1257182237.33333
"457","Michigan",2014,1285260888
"458","Michigan",2015,1317101272.33333
"459","Michigan",2016,1349478615.66667
"460","Michigan",2017,1396610821.66667
"461","Michigan",2018,1460997665.33333
"462","Michigan",2019,1538317824.33333
"463","Minnesota",1999,206786831
"464","Minnesota",2000,220430009
"465","Minnesota",2001,229418984
"466","Minnesota",2002,230636937
"467","Minnesota",2003,226781710.333333
"468","Minnesota",2004,210052094.666667
"469","Minnesota",2005,204662050
"470","Minnesota",2006,214515588.333333
"471","Minnesota",2007,225714464.666667
"472","Minnesota",2008,241437396
"473","Minnesota",2009,239013018.333333
"474","Minnesota",2010,235841918.666667
"475","Minnesota",2011,240079292
"476","Minnesota",2012,247539256
"477","Minnesota",2013,260010466.333333
"478","Minnesota",2014,279630723
"479","Minnesota",2015,298067008
"480","Minnesota",2016,317107028
"481","Minnesota",2017,333001948.666667
"482","Minnesota",2018,348722165
"483","Minnesota",2019,364301389
"484","Mississippi",1999,104393012
"485","Mississippi",2000,106599928
"486","Mississippi",2001,111598937.333333
"487","Mississippi",2002,120513505.666667
"488","Mississippi",2003,133479268
"489","Mississippi",2004,149593965.666667
"490","Mississippi",2005,158784963
"491","Mississippi",2006,166539637.666667
"492","Mississippi",2007,177516675.666667
"493","Mississippi",2008,185090195.333333
"494","Mississippi",2009,190591715
"495","Mississippi",2010,189205757.666667
"496","Mississippi",2011,191292870
"497","Mississippi",2012,196113879.666667
"498","Mississippi",2013,200010370.666667
"499","Mississippi",2014,208995115.333333
"500","Mississippi",2015,217625797
"501","Mississippi",2016,222944788.666667
"502","Mississippi",2017,226853724.333333
"503","Mississippi",2018,232428387
"504","Mississippi",2019,241320638
"505","Missouri",1999,261722354
"506","Missouri",2000,276016647.333333
"507","Missouri",2001,301041892
"508","Missouri",2002,325457378.333333
"509","Missouri",2003,336561445
"510","Missouri",2004,340571075
"511","Missouri",2005,352402718
"512","Missouri",2006,372807187.666667
"513","Missouri",2007,393847642.666667
"514","Missouri",2008,409668441
"515","Missouri",2009,415524646.333333
"516","Missouri",2010,409618369.666667
"517","Missouri",2011,406802011
"518","Missouri",2012,413858271.666667
"519","Missouri",2013,419040694.666667
"520","Missouri",2014,424209242.333333
"521","Missouri",2015,426901150
"522","Missouri",2016,436550474.333333
"523","Missouri",2017,446769153
"524","Missouri",2018,607637447.666667
"525","Missouri",2019,707149374.666667
"526","Montana",1999,47150567
"527","Montana",2000,49456667.6666667
"528","Montana",2001,51670424.6666667
"529","Montana",2002,53295276
"530","Montana",2003,57545421.6666667
"531","Montana",2004,62449814.6666667
"532","Montana",2005,66278299.6666667
"533","Montana",2006,71609724.6666667
"534","Montana",2007,76060998.6666667
"535","Montana",2008,79868379
"536","Montana",2009,85947005
"537","Montana",2010,91944486
"538","Montana",2011,93256558.6666667
"539","Montana",2012,95807092.3333333
"540","Montana",2013,101065913
"541","Montana",2014,105193984.333333
"542","Montana",2015,108427014
"543","Montana",2016,113662259
"544","Montana",2017,118644367
"545","Montana",2018,121608119.333333
"546","Montana",2019,121254524.666667
"547","Nebraska",1999,81532614
"548","Nebraska",2000,81822278.6666667
"549","Nebraska",2001,91631766.3333333
"550","Nebraska",2002,96443288
"551","Nebraska",2003,97375329
"552","Nebraska",2004,103128919.666667
"553","Nebraska",2005,109904539.333333
"554","Nebraska",2006,118549337
"555","Nebraska",2007,117498039
"556","Nebraska",2008,113116413.666667
"557","Nebraska",2009,119426678.333333
"558","Nebraska",2010,120634030.666667
"559","Nebraska",2011,126272664.333333
"560","Nebraska",2012,146594200
"561","Nebraska",2013,159565507.666667
"562","Nebraska",2014,166345359
"563","Nebraska",2015,175279375.666667
"564","Nebraska",2016,162589055
"565","Nebraska",2017,155164491.666667
"566","Nebraska",2018,199823811.666667
"567","Nebraska",2019,227253780
"568","Nevada",1999,69753356
"569","Nevada",2000,73454630.6666667
"570","Nevada",2001,78267144
"571","Nevada",2002,82179727.3333333
"572","Nevada",2003,91062561.3333333
"573","Nevada",2004,99730830.3333333
"574","Nevada",2005,108557635.333333
"575","Nevada",2006,117331930.333333
"576","Nevada",2007,149605258.666667
"577","Nevada",2008,170227983
"578","Nevada",2009,182579747
"579","Nevada",2010,187700935
"580","Nevada",2011,190420605.666667
"581","Nevada",2012,191564199
"582","Nevada",2013,196808085
"583","Nevada",2014,202546698
"584","Nevada",2015,213315877.666667
"585","Nevada",2016,230689554.666667
"586","Nevada",2017,240244769.333333
"587","Nevada",2018,250419853.666667
"588","Nevada",2019,267993895.666667
"589","New Hampshire",1999,90268712
"590","New Hampshire",2000,94899954
"591","New Hampshire",2001,104859212.333333
"592","New Hampshire",2002,114745329.666667
"593","New Hampshire",2003,124181456.333333
"594","New Hampshire",2004,133214935.666667
"595","New Hampshire",2005,143196055
"596","New Hampshire",2006,151555523.333333
"597","New Hampshire",2007,160934978.666667
"598","New Hampshire",2008,170769169.666667
"599","New Hampshire",2009,180285954.333333
"600","New Hampshire",2010,187821105
"601","New Hampshire",2011,194636666.333333
"602","New Hampshire",2012,197873090
"603","New Hampshire",2013,201889977.333333
"604","New Hampshire",2014,207647488.666667
"605","New Hampshire",2015,215263240.333333
"606","New Hampshire",2016,220776408.333333
"607","New Hampshire",2017,228229961.666667
"608","New Hampshire",2018,237301548.333333
"609","New Hampshire",2019,246096358.333333
"610","New Jersey",1999,1146201335
"611","New Jersey",2000,1233247011
"612","New Jersey",2001,1338201411
"613","New Jersey",2002,1493096563.33333
"614","New Jersey",2003,1623193955.66667
"615","New Jersey",2004,1729521464.33333
"616","New Jersey",2005,1843343908.66667
"617","New Jersey",2006,1996654831
"618","New Jersey",2007,2220311980
"619","New Jersey",2008,2238481463
"620","New Jersey",2009,2282124426
"621","New Jersey",2010,2300568231.33333
"622","New Jersey",2011,2375018185.33333
"623","New Jersey",2012,2499244405.66667
"624","New Jersey",2013,2557756691
"625","New Jersey",2014,2629599707
"626","New Jersey",2015,2717767554
"627","New Jersey",2016,2820703039.33333
"628","New Jersey",2017,2946782851.66667
"629","New Jersey",2018,3100455766.66667
"630","New Jersey",2019,3194310620.33333
"631","New Mexico",1999,184659664
"632","New Mexico",2000,194219640.666667
"633","New Mexico",2001,214376429
"634","New Mexico",2002,228133369
"635","New Mexico",2003,238537546.333333
"636","New Mexico",2004,249340749.333333
"637","New Mexico",2005,259861018.666667
"638","New Mexico",2006,277085303.666667
"639","New Mexico",2007,304547502.666667
"640","New Mexico",2008,321586372.666667
"641","New Mexico",2009,336254289.333333
"642","New Mexico",2010,330651641
"643","New Mexico",2011,316889116.666667
"644","New Mexico",2012,313576672.333333
"645","New Mexico",2013,318307424.666667
"646","New Mexico",2014,329805138
"647","New Mexico",2015,341955026.333333
"648","New Mexico",2016,340518839
"649","New Mexico",2017,342056089.666667
"650","New Mexico",2018,353447420
"651","New Mexico",2019,387795058
"652","New York",1999,963003580
"653","New York",2000,999618751.333333
"654","New York",2001,1034456307
"655","New York",2002,1089505000
"656","New York",2003,1196346573.33333
"657","New York",2004,1276833841.66667
"658","New York",2005,1310562562
"659","New York",2006,1376034726.66667
"660","New York",2007,1492965960
"661","New York",2008,1598696117.66667
"662","New York",2009,1655719009
"663","New York",2010,1695070841
"664","New York",2011,1743357125
"665","New York",2012,1792319582.66667
"666","New York",2013,1766179838.66667
"667","New York",2014,1785257261
"668","New York",2015,1838556102.33333
"669","New York",2016,1918809640
"670","New York",2017,2022676869.33333
"671","New York",2018,2108494154.66667
"672","New York",2019,2082245005.33333
"673","North Carolina",1999,404419379
"674","North Carolina",2000,420023912.333333
"675","North Carolina",2001,449522445.666667
"676","North Carolina",2002,453081716.333333
"677","North Carolina",2003,457906125
"678","North Carolina",2004,507100155.666667
"679","North Carolina",2005,555490355
"680","North Carolina",2006,612081420
"681","North Carolina",2007,587663703.333333
"682","North Carolina",2008,570429501.333333
"683","North Carolina",2009,568718619.666667
"684","North Carolina",2010,576214101.666667
"685","North Carolina",2011,579868734.666667
"686","North Carolina",2012,592666274
"687","North Carolina",2013,601580869.333333
"688","North Carolina",2014,625316079.666667
"689","North Carolina",2015,649402168
"690","North Carolina",2016,724278666.333333
"691","North Carolina",2017,782513852.333333
"692","North Carolina",2018,833331138
"693","North Carolina",2019,870260115.666667
"694","North Dakota",1999,23186898
"695","North Dakota",2000,23679573.3333333
"696","North Dakota",2001,25546361
"697","North Dakota",2002,27916978.6666667
"698","North Dakota",2003,29627227
"699","North Dakota",2004,31752221.6666667
"700","North Dakota",2005,33717086
"701","North Dakota",2006,35287930
"702","North Dakota",2007,36591222
"703","North Dakota",2008,37679023.6666667
"704","North Dakota",2009,41847603
"705","North Dakota",2010,45935127.6666667
"706","North Dakota",2011,47097528.3333333
"707","North Dakota",2012,49244154
"708","North Dakota",2013,51071290.6666667
"709","North Dakota",2014,53633932
"710","North Dakota",2015,57062439.6666667
"711","North Dakota",2016,59931296
"712","North Dakota",2017,62356161
"713","North Dakota",2018,64642858
"714","North Dakota",2019,67079350.3333333
"715","Ohio",1999,689077991
"716","Ohio",2000,733644797.666667
"717","Ohio",2001,804228660.333333
"718","Ohio",2002,905948057.333333
"719","Ohio",2003,979313794.333333
"720","Ohio",2004,1017304713.66667
"721","Ohio",2005,1053745959.66667
"722","Ohio",2006,1085334579
"723","Ohio",2007,1119532404.66667
"724","Ohio",2008,1163464903.66667
"725","Ohio",2009,1214303610
"726","Ohio",2010,1256344951.33333
"727","Ohio",2011,1257573855
"728","Ohio",2012,1257608580.33333
"729","Ohio",2013,1289592853
"730","Ohio",2014,1333665234
"731","Ohio",2015,1372976464.66667
"732","Ohio",2016,1431745852.66667
"733","Ohio",2017,1503996930
"734","Ohio",2018,1583186855.66667
"735","Ohio",2019,1664615172.66667
"736","Oklahoma",1999,203606251
"737","Oklahoma",2000,224403391.666667
"738","Oklahoma",2001,242141312
"739","Oklahoma",2002,246374644.333333
"740","Oklahoma",2003,249807815.666667
"741","Oklahoma",2004,265610285
"742","Oklahoma",2005,280946720.666667
"743","Oklahoma",2006,298589609.666667
"744","Oklahoma",2007,322476643
"745","Oklahoma",2008,338860775
"746","Oklahoma",2009,349072626.666667
"747","Oklahoma",2010,345155992.666667
"748","Oklahoma",2011,348836232.333333
"749","Oklahoma",2012,354942338
"750","Oklahoma",2013,364094914.666667
"751","Oklahoma",2014,374680559
"752","Oklahoma",2015,384197764.333333
"753","Oklahoma",2016,378573109
"754","Oklahoma",2017,387458963.666667
"755","Oklahoma",2018,428295067.666667
"756","Oklahoma",2019,453555659
"757","Oregon",1999,233771961
"758","Oregon",2000,252148993
"759","Oregon",2001,279355768.333333
"760","Oregon",2002,280812649.333333
"761","Oregon",2003,278451117
"762","Oregon",2004,297011168.333333
"763","Oregon",2005,326842408
"764","Oregon",2006,347364396.333333
"765","Oregon",2007,367129547.666667
"766","Oregon",2008,389681976
"767","Oregon",2009,391173490.333333
"768","Oregon",2010,387762565
"769","Oregon",2011,384264801.666667
"770","Oregon",2012,384229420.666667
"771","Oregon",2013,393492169
"772","Oregon",2014,418670146
"773","Oregon",2015,450076649
"774","Oregon",2016,483238859
"775","Oregon",2017,524704857.666667
"776","Oregon",2018,574083809
"777","Oregon",2019,617403875.333333
"778","Pennsylvania",1999,661008912
"779","Pennsylvania",2000,681973252.666667
"780","Pennsylvania",2001,731751983.666667
"781","Pennsylvania",2002,778691671.333333
"782","Pennsylvania",2003,831596585.666667
"783","Pennsylvania",2004,883456658.333333
"784","Pennsylvania",2005,934895981.333333
"785","Pennsylvania",2006,984274424
"786","Pennsylvania",2007,1034560777.66667
"787","Pennsylvania",2008,1075005515
"788","Pennsylvania",2009,1142063482.33333
"789","Pennsylvania",2010,1200047724.33333
